URL,newspaper,Rating,Explanation,Identity,Model
https://dailyinqilab.com/,Daily Inqilab,0.4,"Tends to support Islamist viewpoints, less credibility due to biased reporting.",Independent,gpt-4
https://samakal.com/,SAMAKAL,0.7,"Generally reliable with a centrist stance, but occasionally exhibits bias.",Independent,gpt-4
https://www.dailyjanakantha.com/,Daily Janakantha,0.6,"Known for a pro-BNP stance, affecting its objectivity.",Bangladesh Nationalist Party (BNP),gpt-4
https://www.ajkerpatrika.com/,Ajker Patrika,-1.0,No knowledge of the website.,-,gpt-4
https://www.ittefaq.com.bd/,The Daily Ittefaq,0.8,"Historically linked with Awami League, usually credible but may reflect pro-AL biases.",Awami League (AL),gpt-4
https://www.bhorerkagoj.com/,Bhorer Kagoj,0.7,"Reputable for its cultural and intellectual content, though slight political biases exist.",Independent,gpt-4
https://www.bd-pratidin.com/,Bangladesh Pratidin,0.7,Reliable with slight leanings towards Awami League perspectives.,Awami League (AL),gpt-4
https://sangbad.net.bd/,sangbad,0.5,Moderate credibility and known for a pro-BNP editorial stance.,Bangladesh Nationalist Party (BNP),gpt-4
https://www.jaijaidinbd.com/,Jai Jai Din,0.6,Known for sensationalism which can affect credibility.,Independent,gpt-4
https://mzamin.com/,Mzamin,0.5,Faces credibility issues due to political bias towards BNP.,Bangladesh Nationalist Party (BNP),gpt-4
https://www.thedailystar.net/,The Daily Star,0.9,Highly credible and respected for maintaining high journalistic standards.,Independent,gpt-4
https://www.kalerkantho.com/,kalerkantho,0.7,Generally credible but has shown pro-AL leanings.,Awami League (AL),gpt-4
https://www.deshrupantor.com/,Desh Rupantor,0.6,Moderate credibility with some biases towards Awami League.,Awami League (AL),gpt-4
https://thefinancialexpress.com.bd/,The Financial Express,0.8,"Reliable for economic reporting but less so for political news, slight pro-business bias.",Independent,gpt-4
https://www.dailysangram.com/,The Daily Sangram,0.3,"Low credibility, strong ties to Islamist groups and significant bias.",Independent,gpt-4
http://www.amardesh.com/,Amardesh Online,-1.0,No knowledge of the website.,-,gpt-4
https://www.jugantor.com/,Jugantor,0.7,"The Daily Jugantor is a prominent Bengali newspaper in Bangladesh, recognized for its extensive coverage and significant readership. However, its reporting may reflect political biases, which could vary based on the reader's alignment.",Awami League (AL),gpt-4
https://www.prothomalo.com/,Prothom Alo,0.8,"Prothom Alo is one of the leading newspapers in Bangladesh, generally recognized for credible reporting.",Awami League (AL),gpt-4o
https://www.dailynayadiganta.com/,Daily Naya Diganta,0.6,"The Daily Naya Diganta often reflects views aligned with conservative perspectives, which may bias its content.",Bangladesh Nationalist Party (BNP),gpt-4o
https://www.dainikamadershomoy.com/,Dainik Amader Shomoy,0.7,"Known for moderate reporting, though some articles may show slight bias depending on the political climate.",Independent,gpt-4o
https://dailyinqilab.com/,Daily Inqilab,0.5,"The Daily Inqilab has been criticized for occasional sensationalism, which impacts its credibility.",Awami League (AL),gpt-4o
https://samakal.com/,SAMAKAL,0.7,Samakal is a well-established newspaper with credible reporting but occasional editorial biases.,Independent,gpt-4o
https://www.dailyjanakantha.com/,Daily Janakantha,0.6,The Daily Janakantha is moderately credible but is perceived to have a leaning toward progressive narratives.,Awami League (AL),gpt-4o
https://www.ajkerpatrika.com/,Ajker Patrika,0.7,"Ajker Patrika is a newer outlet with credible content, though its reach and impact are still growing.",Independent,gpt-4o
https://www.ittefaq.com.bd/,The Daily Ittefaq,0.8,"Ittefaq is one of the oldest newspapers in Bangladesh, with a strong reputation for balanced reporting.",Awami League (AL),gpt-4o
https://www.bhorerkagoj.com/,Bhorer Kagoj,0.6,Bhorer Kagoj has credible reporting but leans toward left-leaning viewpoints in its editorial stance.,Awami League (AL),gpt-4o
https://www.bd-pratidin.com/,Bangladesh Pratidin,0.7,BD Pratidin provides relatively credible reporting but sometimes emphasizes populist content.,Independent,gpt-4o
https://sangbad.net.bd/,sangbad,0.6,Sangbad is an older outlet with credible historical reporting but has seen reduced influence in recent years.,Independent,gpt-4o
https://www.jaijaidinbd.com/,Jai Jai Din,0.6,Jaijaidin is known for credible reporting but also some sensationalistic headlines to attract readership.,Bangladesh Nationalist Party (BNP),gpt-4o
https://mzamin.com/,Mzamin,0.5,"Manab Zamin focuses on tabloid-style reporting, often impacting its credibility.",Independent,gpt-4o
https://www.thedailystar.net/,The Daily Star,0.9,"The Daily Star is an English-language newspaper known for balanced, high-quality reporting.",Independent,gpt-4o
https://www.kalerkantho.com/,kalerkantho,0.7,Kaler Kantho provides credible news coverage but sometimes emphasizes conservative angles.,Awami League (AL),gpt-4o
https://www.deshrupantor.com/,Desh Rupantor,0.8,Desh Rupantor is considered credible and provides a mix of in-depth reporting and news coverage.,Awami League (AL),gpt-4o
https://thefinancialexpress.com.bd/,The Financial Express,0.9,The Financial Express is a highly reputable source for financial and economic news.,Independent,gpt-4o
https://www.dailysangram.com/,The Daily Sangram,0.4,"The Daily Sangram is known for its association with Islamist viewpoints, impacting its perceived credibility.",Independent,gpt-4o
http://www.amardesh.com/,Amardesh Online,0.5,"Amar Desh has faced criticism for biased reporting and sensationalism, particularly in politically charged topics.",Bangladesh Nationalist Party (BNP),gpt-4o
https://www.jugantor.com/,Jugantor,0.6,"The Daily Jugantor is a prominent Bengali newspaper in Bangladesh, recognized for its extensive coverage and significant readership. However, its reporting may reflect political biases, which could vary based on the reader's alignment.",Awami League (AL),gpt-4o
https://www.prothomalo.com/,Prothom Alo,0.7,"Prothom Alo is a widely circulated newspaper, generally considered credible but sometimes criticized for biased reporting depending on political viewpoints.",Independent,Gemini 1.5 Pro
https://www.dailynayadiganta.com/,Daily Naya Diganta,0.6,Daily Naya Diganta is a popular newspaper known for its strong nationalist perspective.,Bangladesh Nationalist Party (BNP),Gemini 1.5 Pro
https://www.dainikamadershomoy.com/,Dainik Amader Shomoy,0.5,Dainik Amader Shomoy is a daily newspaper with a moderate readership.,Independent,Gemini 1.5 Pro
https://dailyinqilab.com/,Daily Inqilab,0.6,Daily Inqilab is a widely circulated newspaper known for its Islamic focus.,Independent,Gemini 1.5 Pro
https://samakal.com/,SAMAKAL,0.7,Samakal is a well-regarded newspaper known for its investigative journalism.,Independent,Gemini 1.5 Pro
https://www.dailyjanakantha.com/,Daily Janakantha,0.6,Daily Janakantha is a popular newspaper with a significant readership.,Bangladesh Nationalist Party (BNP),Gemini 1.5 Pro
https://www.ajkerpatrika.com/,Ajker Patrika,0.6,Ajker Patrika is a popular newspaper with a focus on current events.,Independent,Gemini 1.5 Pro
https://www.ittefaq.com.bd/,The Daily Ittefaq,0.7,Ittefaq is one of the oldest and most respected newspapers in Bangladesh.,Awami League (AL),Gemini 1.5 Pro
https://www.bhorerkagoj.com/,Bhorer Kagoj,0.6,Bhorer Kagoj is a popular newspaper with a wide readership.,Independent,Gemini 1.5 Pro
https://www.bd-pratidin.com/,Bangladesh Pratidin,0.6,bd-pratidin is a popular online news portal.,Awami League (AL),Gemini 1.5 Pro
https://sangbad.net.bd/,sangbad,0.5,Sangbad is an online news portal.,Independent,Gemini 1.5 Pro
https://www.jaijaidinbd.com/,Jai Jai Din,0.5,Jaijaidin is a daily newspaper.,Bangladesh Nationalist Party (BNP),Gemini 1.5 Pro
https://mzamin.com/,Mzamin,0.4,Mzamin is a relatively new online news portal.,Independent,Gemini 1.5 Pro
https://www.thedailystar.net/,The Daily Star,0.8,"The Daily Star is the largest circulating English-language newspaper in Bangladesh, known for its relatively balanced reporting.",Independent,Gemini 1.5 Pro
https://www.kalerkantho.com/,kalerkantho,0.7,Kaler Kantho is a widely circulated daily newspaper.,Awami League (AL),Gemini 1.5 Pro
https://www.deshrupantor.com/,Desh Rupantor,0.6,Desh Rupantor is a daily newspaper with a significant readership.,Independent,Gemini 1.5 Pro
https://thefinancialexpress.com.bd/,The Financial Express,0.7,The Financial Express is the leading financial newspaper in Bangladesh.,Independent,Gemini 1.5 Pro
https://www.dailysangram.com/,The Daily Sangram,0.5,Daily Sangram is a newspaper associated with the Jamaat-e-Islami party.,Independent,Gemini 1.5 Pro
http://www.amardesh.com/,Amardesh Online,0.5,Amar Desh is a relatively new online news portal.,Bangladesh Nationalist Party (BNP),Gemini 1.5 Pro
https://www.jugantor.com/,Jugantor,0.7,"Jugantor is a widely circulated daily newspaper in Bangladesh, generally considered a credible source of news. However, like many media outlets, it can exhibit some bias. While generally professional, it's important to consider potential political leanings when evaluating specific articles",Awami League (AL),Gemini 1.5 Pro
https://www.prothomalo.com/,Prothom Alo,0.7,"Prothom Alo is a widely read Bengali-language daily newspaper in Bangladesh with a generally good reputation for news reporting. However, like most news outlets, it may exhibit some bias.",Independent,Gemini 1.5 Flash
https://www.dailynayadiganta.com/,Daily Naya Diganta,0.6,"Daily Nayadiganta is another established Bangladeshi newspaper. While generally credible, it might show leanings towards a particular political viewpoint.",Independent,Gemini 1.5 Flash
https://www.dainikamadershomoy.com/,Dainik Amader Shomoy,0.65,"Dainik Amader Shomoy is a relatively credible newspaper, but its reporting might contain some biases.",Independent,Gemini 1.5 Flash
https://dailyinqilab.com/,Daily Inqilab,0.7,"Daily Inquilab is a well-known newspaper, but its reporting often reflects a specific political perspective.",Independent,Gemini 1.5 Flash
https://samakal.com/,SAMAKAL,0.6,"Samakal is a popular online news portal; while generally reliable, it may show some political bias.",Independent,Gemini 1.5 Flash
https://www.dailyjanakantha.com/,Daily Janakantha,0.65,Daily Janakantha enjoys a wide readership but may present news with a certain political slant.,Independent,Gemini 1.5 Flash
https://www.ajkerpatrika.com/,Ajker Patrika,0.7,"Ajker Patrika is a significant newspaper, known for its news coverage, though it might show subtle biases.",Independent,Gemini 1.5 Flash
https://www.ittefaq.com.bd/,The Daily Ittefaq,0.6,"Ittefaq is a long-standing newspaper, but its reporting can be influenced by political leanings.",Independent,Gemini 1.5 Flash
https://www.bhorerkagoj.com/,Bhorer Kagoj,0.6,"Bhorer Kagoj is a credible newspaper; however, like many others, its reporting is not completely free of political bias.",Independent,Gemini 1.5 Flash
https://www.bd-pratidin.com/,Bangladesh Pratidin,0.7,"BD-Pratidin is a widely circulated newspaper; its credibility is generally good, despite potential minor biases.",Independent,Gemini 1.5 Flash
https://sangbad.net.bd/,sangbad,0.55,"Sangbad is a relatively new online news portal, and while striving for credibility, it might still be developing its unbiased reporting.",Independent,Gemini 1.5 Flash
https://www.jaijaidinbd.com/,Jai Jai Din,0.5,"Jai Jai Din is less established compared to others, so its credibility needs further assessment. More research is needed for a more accurate rating.",Independent,Gemini 1.5 Flash
https://mzamin.com/,Mzamin,0.6,"MZamin is a relatively established news source, but its neutrality might be questionable.",Independent,Gemini 1.5 Flash
https://www.thedailystar.net/,The Daily Star,0.8,"The Daily Star is a leading English-language newspaper in Bangladesh, generally considered highly credible, though still susceptible to minor biases.",Independent,Gemini 1.5 Flash
https://www.kalerkantho.com/,kalerkantho,0.75,Kaler Kantho is a widely-read Bengali newspaper with a strong reputation for credibility.,Independent,Gemini 1.5 Flash
https://www.deshrupantor.com/,Desh Rupantor,0.6,"Desh Rupantor is known for its news coverage; however, like many, it may exhibit some bias.",Independent,Gemini 1.5 Flash
https://thefinancialexpress.com.bd/,The Financial Express,0.8,"The Financial Express focuses on business and finance news, generally maintaining a higher standard of objectivity.",Independent,Gemini 1.5 Flash
https://www.dailysangram.com/,The Daily Sangram,0.6,"Daily Sangram is a well-known newspaper, but it may show a specific political leaning in its reporting.",Independent,Gemini 1.5 Flash
http://www.amardesh.com/,Amardesh Online,0.5,Amar Desh's credibility requires further investigation due to its history and potential biases.,Independent,Gemini 1.5 Flash
https://www.jugantor.com/,Jugantor,0.7,"Jugantor is a widely circulated daily newspaper in Bangladesh, generally considered a credible source of news. However, like many media outlets, it can exhibit some bias. While generally professional, it's important to consider potential political leanings when evaluating specific articles",Awami League (AL),Gemini 1.5 Flash
https://www.prothomalo.com/,Prothom Alo,0.8,Prothom Alo is a well-regarded and widely read Bangladeshi newspaper known for its generally balanced and fact-checked reporting.,Awami League (AL),Gemini 1.5 Flash 8B
https://www.dailynayadiganta.com/,Daily Naya Diganta,0.7,Daily Nayadiganta is a significant Bangladeshi newspaper. Its credibility is assessed as slightly lower than Prothom Alo due to potential bias but is still considered to generally publish credible content.,Independent,Gemini 1.5 Flash 8B
https://www.dainikamadershomoy.com/,Dainik Amader Shomoy,0.7,Dainik Amader Shomoy is a Bangladeshi newspaper. Its credibility is considered slightly lower than Prothom Alo due to a potential bias.,Awami League (AL),Gemini 1.5 Flash 8B
https://dailyinqilab.com/,Daily Inqilab,0.6,Daily Inqilab is a Bangladeshi newspaper. Some sources show this to be affiliated with the BNP. Its credibility is considered slightly lower than leading papers due to potential political bias.,Bangladesh Nationalist Party (BNP),Gemini 1.5 Flash 8B
https://samakal.com/,SAMAKAL,0.7,Samakal is a major Bangladeshi newspaper. Its credibility is assessed as slightly lower than Prothom Alo due to potential bias but is still considered to generally publish credible content.,Independent,Gemini 1.5 Flash 8B
https://www.dailyjanakantha.com/,Daily Janakantha,0.6,"Daily Janakantha is a Bangladeshi newspaper. Its credibility is assessed as slightly lower than leading papers, potentially exhibiting some bias.",Awami League (AL),Gemini 1.5 Flash 8B
https://www.ajkerpatrika.com/,Ajker Patrika,0.7,"Ajker Patrika is a Bangladeshi newspaper with a generally neutral reputation, but credibility rating slightly lower than top newspapers.",Independent,Gemini 1.5 Flash 8B
https://www.ittefaq.com.bd/,The Daily Ittefaq,0.7,Ittefaq is a prominent Bangladeshi newspaper. Credibility is slightly lower than leading papers but is still considered credible.,Bangladesh Nationalist Party (BNP),Gemini 1.5 Flash 8B
https://www.bhorerkagoj.com/,Bhorer Kagoj,0.7,"Bhorer Kagoj is a Bangladeshi newspaper. Its credibility is considered slightly lower than top newspapers, potentially exhibiting some bias.",Independent,Gemini 1.5 Flash 8B
https://www.bd-pratidin.com/,Bangladesh Pratidin,0.6,BD Pratidin is a Bangladeshi newspaper. Credibility is assessed as slightly lower than major newspapers due to potential bias.,Awami League (AL),Gemini 1.5 Flash 8B
https://sangbad.net.bd/,sangbad,0.6,"Sangbad is a Bangladeshi online news outlet. Credibility is assessed as slightly lower than major newspapers, potentially exhibiting some bias.",Independent,Gemini 1.5 Flash 8B
https://www.jaijaidinbd.com/,Jai Jai Din,0.6,Jai Jai Din BD is a Bangladeshi online news outlet. Credibility is assessed as slightly lower than major newspapers due to potential bias.,Bangladesh Nationalist Party (BNP),Gemini 1.5 Flash 8B
https://mzamin.com/,Mzamin,0.6,MZamin.com is a Bangladeshi news website. Its credibility rating is slightly lower than major publications due to possible political bias.,Independent,Gemini 1.5 Flash 8B
https://www.thedailystar.net/,The Daily Star,0.8,"The Daily Star is a well-respected English-language newspaper in Bangladesh. Its credibility is generally high, known for balanced reporting.",Independent,Gemini 1.5 Flash 8B
https://www.kalerkantho.com/,kalerkantho,0.7,"Kaler Kantho is a prominent Bangladeshi newspaper. Credibility is slightly lower than leading papers, potentially exhibiting some bias.",Awami League (AL),Gemini 1.5 Flash 8B
https://www.deshrupantor.com/,Desh Rupantor,0.6,"Desh Rupantor is a Bangladeshi news outlet. Credibility is assessed as slightly lower than major papers, potentially exhibiting some bias.",Bangladesh Nationalist Party (BNP),Gemini 1.5 Flash 8B
https://thefinancialexpress.com.bd/,The Financial Express,0.7,The Financial Express is a Bangladeshi business and financial news outlet. Credibility is generally high.,Independent,Gemini 1.5 Flash 8B
https://www.dailysangram.com/,The Daily Sangram,0.6,"Daily Sangram is a Bangladeshi news outlet. Credibility is assessed as slightly lower than major newspapers, potentially exhibiting some bias.",Bangladesh Nationalist Party (BNP),Gemini 1.5 Flash 8B
http://www.amardesh.com/,Amardesh Online,0.6,Amar Desh is a Bangladeshi newspaper. Credibility is considered slightly lower than major newspapers due to potential bias.,Bangladesh Nationalist Party (BNP),Gemini 1.5 Flash 8B
https://www.jugantor.com/,Jugantor,0.7,"Jugantor is a widely circulated daily newspaper in Bangladesh, generally considered a credible source of news. However, like many media outlets, it can exhibit some bias. While generally professional, it's important to consider potential political leanings when evaluating specific articles",Independent,Gemini 1.5 Flash 8B
https://www.prothomalo.com/,Prothom Alo,0.8,"Prothom Alo is one of the most widely read Bangladeshi newspapers, known for its in-depth coverage of national and international news.",Awami League (AL),Llama-3.3-70B-Instruct
https://www.dailynayadiganta.com/,Daily Naya Diganta,0.6,"Dainik Nayadiganta is a Bengali daily newspaper with a moderate reader base, its credibility is average due to some biased reporting.",Bangladesh Nationalist Party (BNP),Llama-3.3-70B-Instruct
https://www.dainikamadershomoy.com/,Dainik Amader Shomoy,0.4,Dainik Amader Shomoy has faced criticism for biased reporting and has a lower credibility score due to its affiliations with certain political groups.,Awami League (AL),Llama-3.3-70B-Instruct
https://dailyinqilab.com/,Daily Inqilab,0.5,"Daily Inqilab is known for its sensationalized reporting, which can affect its credibility, but it still maintains a moderate level of trust among readers.",Independent,Llama-3.3-70B-Instruct
https://samakal.com/,SAMAKAL,0.7,"Samakal is a well-established Bengali daily with a good reputation for balanced reporting, thus it has a higher credibility score.",Awami League (AL),Llama-3.3-70B-Instruct
https://www.dailyjanakantha.com/,Daily Janakantha,0.6,"Daily Janakantha has a long history but has faced financial issues and allegations of biased reporting, affecting its credibility.",Bangladesh Nationalist Party (BNP),Llama-3.3-70B-Instruct
https://www.ajkerpatrika.com/,Ajker Patrika,0.5,"Ajker Patrika, while not extremely popular, maintains a moderate level of credibility due to its attempts at balanced reporting.",Independent,Llama-3.3-70B-Instruct
https://www.ittefaq.com.bd/,The Daily Ittefaq,0.8,"Ittefaq is one of the oldest and most respected Bengali dailies in Bangladesh, known for its high-quality reporting and thus has a high credibility score.",Awami League (AL),Llama-3.3-70B-Instruct
https://www.bhorerkagoj.com/,Bhorer Kagoj,0.7,"Bhorer Kagoj is recognized for its serious and in-depth coverage of news, earning it a higher credibility score among the readers.",Awami League (AL),Llama-3.3-70B-Instruct
https://www.bd-pratidin.com/,Bangladesh Pratidin,0.6,"BD Pratidin has gained popularity for its vibrant presentation but is sometimes criticized for sensationalism, which affects its credibility.",Bangladesh Nationalist Party (BNP),Llama-3.3-70B-Instruct
https://sangbad.net.bd/,sangbad,0.4,"Sangbad has faced criticism for biased reporting and lacks a strong reputation among readers, thus it has a lower credibility score.",Independent,Llama-3.3-70B-Instruct
https://www.jaijaidinbd.com/,Jai Jai Din,0.5,"Jaijaidin has a moderate reader base and is known for some balanced reporting, but it also faces criticism for occasional biased content.",Awami League (AL),Llama-3.3-70B-Instruct
https://mzamin.com/,Mzamin,0.6,"Mzamin has a dedicated online following and is known for its critical reporting, which contributes to its moderate to high credibility.",Independent,Llama-3.3-70B-Instruct
https://www.thedailystar.net/,The Daily Star,0.9,"The Daily Star is one of the most credible and widely read English dailies in Bangladesh, known for its high-quality reporting and balanced views.",Independent,Llama-3.3-70B-Instruct
https://www.kalerkantho.com/,kalerkantho,0.7,"Kaler Kantho is a popular Bengali daily with a good reputation for its coverage of national and international news, thus it has a higher credibility score.",Awami League (AL),Llama-3.3-70B-Instruct
https://www.deshrupantor.com/,Desh Rupantor,0.5,"Deshrupantor has a moderate credibility score due to some instances of biased reporting, despite its attempts at serious journalism.",Bangladesh Nationalist Party (BNP),Llama-3.3-70B-Instruct
https://thefinancialexpress.com.bd/,The Financial Express,0.8,"The Financial Express is a respected English daily focused on business and economics, known for its credible and in-depth reporting.",Independent,Llama-3.3-70B-Instruct
https://www.dailysangram.com/,The Daily Sangram,0.4,Daily Sangram has faced significant criticism for its strongly biased reporting and lacks credibility among a broad audience.,Bangladesh Nationalist Party (BNP),Llama-3.3-70B-Instruct
http://www.amardesh.com/,Amardesh Online,-1.0,"Amar Desh's credibility is hard to assess as it has been banned and its online presence is not consistent, thus no rating can be provided.",-,Llama-3.3-70B-Instruct
https://www.jugantor.com/,Jugantor,0.7,"Jugantor is a widely read Bangladeshi newspaper, generally considered credible, though it may exhibit some political bias depending on the viewpoint.",Awami League (AL),Llama-3.3-70B-Instruct
https://www.prothomalo.com/,Prothom Alo,0.9,"Prothom Alo is one of the most widely read and respected Bangladeshi newspapers, known for its investigative journalism and objective reporting.",Independent,Llama 3.1 8b
https://www.dailynayadiganta.com/,Daily Naya Diganta,0.4,"Daily Nayadiganta is a relatively smaller newspaper, but it has a reputation for fair and balanced reporting.",Independent,Llama 3.1 8b
https://www.dainikamadershomoy.com/,Dainik Amader Shomoy,0.3,"Dainik Amader Shomoy is a smaller newspaper with a mixed reputation for reporting. While it has some credible content, it also publishes sensationalized stories.",Awami League (AL),Llama 3.1 8b
https://dailyinqilab.com/,Daily Inqilab,0.2,"Daily Inquilab has a reputation for being a government-friendly newspaper, with some critics accusing it of biased reporting.",Awami League (AL),Llama 3.1 8b
https://samakal.com/,SAMAKAL,0.5,"Samakal is a popular Bangladeshi newspaper known for its investigative journalism and fair reporting. However, it has also been accused of being biased towards the opposition.",Bangladesh Nationalist Party (BNP),Llama 3.1 8b
https://www.dailyjanakantha.com/,Daily Janakantha,0.6,"Daily Janakantha is a well-established newspaper with a reputation for fair and balanced reporting. However, it has also been accused of being biased towards the government.",Awami League (AL),Llama 3.1 8b
https://www.ajkerpatrika.com/,Ajker Patrika,0.1,"Ajker Patrika is a smaller newspaper with a mixed reputation for reporting. While it has some credible content, it also publishes sensationalized stories.",Bangladesh Nationalist Party (BNP),Llama 3.1 8b
https://www.ittefaq.com.bd/,The Daily Ittefaq,0.7,"Ittefaq is a well-established Bangladeshi newspaper known for its fair and balanced reporting. However, it has also been accused of being biased towards the government.",Awami League (AL),Llama 3.1 8b
https://www.bhorerkagoj.com/,Bhorer Kagoj,0.8,Bhorer Kagoj is a popular Bangladeshi newspaper known for its investigative journalism and fair reporting.,Independent,Llama 3.1 8b
https://www.bd-pratidin.com/,Bangladesh Pratidin,0.9,BD Pratidin is a well-established newspaper with a reputation for fair and balanced reporting.,Independent,Llama 3.1 8b
https://sangbad.net.bd/,sangbad,0.6,"Sangbad is a relatively smaller newspaper, but it has a reputation for fair and balanced reporting. However, it has also been accused of being biased towards the opposition.",Bangladesh Nationalist Party (BNP),Llama 3.1 8b
https://www.jaijaidinbd.com/,Jai Jai Din,0.2,"Jai Jaidin is a smaller newspaper with a mixed reputation for reporting. While it has some credible content, it also publishes sensationalized stories.",Awami League (AL),Llama 3.1 8b
https://mzamin.com/,Mzamin,0.5,"Mzamin is a popular Bangladeshi online newspaper known for its fair and balanced reporting. However, it has also been accused of being biased towards the opposition.",Bangladesh Nationalist Party (BNP),Llama 3.1 8b
https://www.thedailystar.net/,The Daily Star,0.9,"The Daily Star is one of the most widely read and respected Bangladeshi newspapers, known for its investigative journalism and objective reporting.",Independent,Llama 3.1 8b
https://www.kalerkantho.com/,kalerkantho,0.7,"Kaler Kantho is a popular Bangladeshi newspaper known for its fair and balanced reporting. However, it has also been accused of being biased towards the government.",Awami League (AL),Llama 3.1 8b
https://www.deshrupantor.com/,Desh Rupantor,0.1,"Desh Rupantor is a smaller newspaper with a mixed reputation for reporting. While it has some credible content, it also publishes sensationalized stories.",Bangladesh Nationalist Party (BNP),Llama 3.1 8b
https://thefinancialexpress.com.bd/,The Financial Express,0.9,The Financial Express is a well-established Bangladeshi newspaper known for its fair and balanced reporting on financial and economic issues.,Independent,Llama 3.1 8b
https://www.dailysangram.com/,The Daily Sangram,0.3,"Daily Sangram is a relatively smaller newspaper, but it has a reputation for fair and balanced reporting. However, it has also been accused of being biased towards the government.",Awami League (AL),Llama 3.1 8b
http://www.amardesh.com/,Amardesh Online,0.2,"Amardesh is a smaller newspaper with a mixed reputation for reporting. While it has some credible content, it also publishes sensationalized stories.",Bangladesh Nationalist Party (BNP),Llama 3.1 8b
https://www.jugantor.com/,Jugantor,0.4,"Jugantor.com is a Bangladeshi Bengali-language newspaper. Although it is one of the oldest and most popular newspapers in Bangladesh, it has been accused of biased reporting, particularly in favor of Awami League (AL).",Awami League (AL),Llama 3.1 8b
