Timestamp,Gender,Age,Highest Level of Education,Prothom Alo credibility,Prothom Alo-identity,Daily Naya Diganta credibility,Daily Naya Diganta identity ,Dainik Amader Shomoy credibility,Dainik Amader Shomoy identity,Jugantor credibility,Jugantor identity,Daily Inqilab credibility,Daily Inqilab identity,SAMAKAL  credibility,SAMAKAL identity,Daily Janakantha credibility,Daily Janakantha identity,আজকের পত্রিকা credibility,আজকের পত্রিকা identity,The Daily Ittefaq credibility,The Daily Ittefaq identity,Bhorer Kagoj credibility,Bhorer Kagoj identity,Bangladesh Pratidin credibility ,Bangladesh Pratidin identity ,sangbad credibility,sangbad identity,Jai Jai Din credibility ,Jai Jai Din identity,Mzamin credibility,Mzamin identity,The Daily Star credibility,The Daily Star identity,kalerkantho credibility,kalerkantho identity,দেশ রূপান্তর - দায়িত্বশীলদের দৈনিক credibility,দেশ রূপান্তর - দায়িত্বশীলদের দৈনিক identity,The Financial Express credibility,The Financial Express identity,The Daily Sangram credibility,The Daily Sangram identity,Amardesh Online credibility,Amardesh Online identity
15/12/2024 07:04:29,Female,18-29,Collage Graduate,0,"a Awami League (AL),",-1,Neutral,1,Neutral,0,a Bangladesh Nationalist Party,1,Neutral,0,a Bangladesh Nationalist Party,1,Neutral,-1,Neutral,1,Neutral,0,"a Awami League (AL),",0,"a Awami League (AL),",0,"a Awami League (AL),",0,"a Awami League (AL),",-1,Neutral,1,Neutral,0,Neutral,0,Neutral,-1,Neutral,0,"a Awami League (AL),",-1,Neutral
15/12/2024 07:06:37,Female,18-29,High School or Less,1,Neutral,1,Neutral,1,Neutral,1,Neutral,-1,Neutral,-1,Neutral,1,Neutral,-1,Neutral,1,Neutral,-1,Neutral,-1,Neutral,0,Neutral,0,Neutral,0,Neutral,1,Neutral,1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral
15/12/2024 07:51:21,Female,18-29,Collage Graduate,1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,0,Neutral,1,Neutral,1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral
15/12/2024 08:56:47,Female,18-29,Collage Graduate,1,Neutral,-1,Neutral,-1,Neutral,1,Neutral,0,Neutral,1,Neutral,1,Neutral,-1,Neutral,1,Neutral,1,Neutral,0,Neutral,-1,Neutral,0,Neutral,-1,Neutral,1,Neutral,1,Neutral,1,Neutral,-1,Neutral,0,Neutral,-1,Neutral
15/12/2024 22:45:28,Female,18-29,High School or Less,2,a Bangladesh Nationalist Party,4,"a Awami League (AL),",-1,"a Awami League (AL),",-1,Neutral,0,Neutral,1,Neutral,0,Neutral,0,"a Awami League (AL),",0,Neutral,1,Neutral,1,Neutral,1,Neutral,0,Neutral,-1,Neutral,0,Neutral,1,"a Awami League (AL),",0,Neutral,-1,Neutral,0,Neutral,-1,a Bangladesh Nationalist Party
15/12/2024 22:46:00,Male,18-29,Collage Graduate,0,"a Awami League (AL),",1,Neutral,1,Neutral,1,Neutral,1,Neutral,-1,Neutral,-1,Neutral,1,Neutral,1,Neutral,1,Neutral,0,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,1,Neutral,1,Neutral,1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral
15/12/2024 22:47:22,Male,18-29,Collage Graduate,0,"a Awami League (AL),",-1,Neutral,-1,Neutral,0,Neutral,0,Neutral,0,"a Awami League (AL),",0,"a Awami League (AL),",-1,Neutral,0,"a Awami League (AL),",-1,Neutral,0,"a Awami League (AL),",-1,Neutral,-1,"a Awami League (AL),",-1,Neutral,0,"a Awami League (AL),",-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral
15/12/2024 22:51:56,Male,18-29,Collage Graduate,1,"a Awami League (AL),",1,Neutral,0,Neutral,0,Neutral,1,a Bangladesh Nationalist Party,-1,Neutral,1,Neutral,-1,Neutral,1,Neutral,-1,Neutral,1,"a Awami League (AL),",-1,Neutral,-1,Neutral,-1,Neutral,1,Neutral,1,Neutral,-1,Neutral,Q,Neutral,1,"a Awami League (AL),",-1,Neutral
15/12/2024 22:52:04,Male,18-29,Collage Graduate,1,"a Awami League (AL),",1,"a Awami League (AL),",-1,Neutral,-1,Neutral,0,"a Awami League (AL),",-1,Neutral,-1,Neutral,0,Neutral,0,"a Awami League (AL),",-1,Neutral,-1,Neutral,-1,Neutral,1,Neutral,-1,Neutral,1,"a Awami League (AL),",1,"a Awami League (AL),",-1,Neutral,-1,Neutral,-1,Neutral,1,Neutral
15/12/2024 23:07:44,Male,18-29,Collage Graduate,0,"a Awami League (AL),",-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral
15/12/2024 23:15:37,Male,18-29,Collage Graduate,1,"a Awami League (AL),",-1,Neutral,-1,Neutral,-1,Neutral,-1,a Bangladesh Nationalist Party,-1,Neutral,-1,a Bangladesh Nationalist Party,-1,Neutral,-1,a Bangladesh Nationalist Party,-1,Neutral,-1,"a Awami League (AL),",-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral
15/12/2024 23:16:04,Female,18-29,Collage Graduate,1,"a Awami League (AL),",-1,Neutral,1,Neutral,1,Neutral,-1,Neutral,1,Neutral,-1,Neutral,-1,Neutral,1,Neutral,1,Neutral,1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,1,Neutral,1,a Bangladesh Nationalist Party,1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral
15/12/2024 23:26:39,Female,18-29,Collage Graduate,0,"a Awami League (AL),",-1,Neutral,-1,Neutral,1,Neutral,-1,Neutral,1,Neutral,1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,0,"a Awami League (AL),",-1,Neutral,-1,Neutral,1,Neutral,0,"a Awami League (AL),",0,"a Awami League (AL),",-1,Neutral,-1,Neutral,-1,Neutral,1,Neutral
15/12/2024 23:38:55,Male,18-29,Collage Graduate,0,"a Awami League (AL),",0,"a Awami League (AL),",-1,Neutral,0,"a Awami League (AL),",1,Neutral,0,"a Awami League (AL),",-1,Neutral,0,"a Awami League (AL),",1,Neutral,-1,Neutral,0,"a Awami League (AL),",-1,Neutral,0,"a Awami League (AL),",-1,Neutral,0,"a Awami League (AL),",1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral
16/12/2024 00:01:58,Male,18-29,Collage Graduate,1,Neutral,1,Neutral,0,"a Awami League (AL),",0,"a Awami League (AL),",1,Neutral,1,Neutral,1,Neutral,1,a Bangladesh Nationalist Party,1,Neutral,1,"a Awami League (AL),",1,a Bangladesh Nationalist Party,1,Neutral,1,Neutral,1,Neutral,1,Neutral,1,"a Awami League (AL),",1,Neutral,1,Neutral,1,Neutral,1,Neutral
16/12/2024 00:30:15,Male,18-29,Collage Graduate,01,"a Awami League (AL),",03,Neutral,02,Neutral,01,a Bangladesh Nationalist Party,01,a Bangladesh Nationalist Party,03,Neutral,03,Neutral,02,Neutral,02,a Bangladesh Nationalist Party,02,Neutral,04,Neutral,02,Neutral,02,Neutral,-1,Neutral,1,"a Awami League (AL),",1,"a Awami League (AL),",-1,Neutral,2,Neutral,2,a Bangladesh Nationalist Party,-1,Neutral
16/12/2024 01:29:24,Female,18-29,Post Graduate,0.2,"a Awami League (AL),",0.8,Neutral,-1,Neutral,0.5,Neutral,0.5,Neutral,0.3,"a Awami League (AL),",-1,Neutral,-1,Neutral,0.7,Neutral,0.4,"a Awami League (AL),",-1,Neutral,-1,Neutral,0.3,"a Awami League (AL),",0.5,Neutral,0.2,"a Awami League (AL),",0.2,"a Awami League (AL),",0.5,Neutral,-1,Neutral,-1,Neutral,-1,Neutral
16/12/2024 02:22:25,Female,18-29,Post Graduate,0,Neutral,0,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1`,Neutral,-1,Neutral
16/12/2024 02:23:17,Male,18-29,Post Graduate,0,"a Awami League (AL),",1,Neutral,3,Neutral,1,Neutral,1,Neutral,2,Neutral,2,Neutral,2,Neutral,3,Neutral,2,Neutral,3,Neutral,2,Neutral,3,Neutral,3,Neutral,2,Neutral,2,Neutral,2,Neutral,2,Neutral,2,Neutral,2,Neutral
16/12/2024 13:56:16,Female,18-29,Collage Graduate,1,Neutral,-1,Neutral,-1,Neutral,0,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral
18/12/2024 07:47:08,Female,18-29,Some College,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,O,Neutral,0,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,0,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral
20/12/2024 01:36:44,Male,18-29,Collage Graduate,1,Neutral,1,Neutral,0,"a Awami League (AL),",0,a Bangladesh Nationalist Party,0,a Bangladesh Nationalist Party,0,"a Awami League (AL),",1,Neutral,0,"a Awami League (AL),",1,"a Awami League (AL),",1,"a Awami League (AL),",1,"a Awami League (AL),",1,"a Awami League (AL),",1,"a Awami League (AL),",1,"a Awami League (AL),",1,Neutral,1,"a Awami League (AL),",1,"a Awami League (AL),",1,Neutral,1,"a Awami League (AL),",1,"a Awami League (AL),"
